t_unix_s,pressure_kpa
1769114679.448023,100.200
1769114679.476656,100.200
1769114679.505534,100.210
1769114679.534233,100.210
1769114679.562747,100.210
1769114679.587747,100.200
1769114679.615839,100.200
1769114679.644841,100.210
1769114679.673027,100.210
1769114679.702034,100.210
1769114679.731035,100.200
1769114679.759069,100.200
1769114679.788584,100.210
1769114679.816583,100.200
1769114679.845583,100.200
1769114679.874120,100.210
1769114679.903099,100.200
1769114679.927100,100.210
1769114679.956183,100.200
1769114679.984849,100.200
1769114680.013880,100.220
1769114680.042070,100.200
1769114680.070489,100.200
1769114680.099504,100.200
1769114680.128572,100.220
1769114680.156666,100.210
1769114680.185184,100.210
1769114680.214499,100.200
1769114680.238593,100.200
1769114680.267174,100.200
1769114680.296169,100.200
1769114680.324550,100.210
1769114680.353572,100.210
1769114680.382080,100.210
1769114680.411083,100.210
1769114680.440085,100.200
1769114680.467700,100.200
1769114680.496696,100.200
1769114680.525680,100.210
1769114680.553782,100.200
1769114680.578339,100.200
1769114680.607365,100.210
1769114680.636383,100.200
1769114680.664594,100.210
1769114680.693574,100.200
1769114680.722594,100.200
1769114680.750840,100.200
1769114680.779389,100.200
1769114680.808393,100.210
1769114680.837394,100.210
1769114680.865580,100.200
1769114680.893863,100.210
1769114680.918914,100.190
1769114680.947472,100.200
1769114680.975718,100.200
1769114681.004736,100.200
1769114681.033736,100.200
1769114681.061749,100.200
1769114681.090833,100.210
1769114681.119833,100.200
1769114681.147836,100.210
1769114681.176405,100.220
1769114681.205424,100.210
1769114681.234408,100.220
1769114681.259440,100.210
1769114681.287398,100.200
1769114681.316404,100.210
1769114681.344402,100.200
1769114681.373958,100.200
1769114681.401973,100.210
1769114681.430974,100.200
1769114681.459988,100.210
1769114681.488133,100.200
1769114681.517139,100.210
1769114681.545114,100.210
1769114681.574345,100.210
1769114681.598336,100.210
1769114681.627319,100.210
1769114681.656351,100.210
1769114681.685431,100.200
1769114681.713429,100.210
1769114681.742412,100.210
1769114681.770969,100.220
1769114681.799970,100.210
1769114681.827951,100.200
1769114681.857097,100.210
1769114681.885643,100.220
1769114681.913624,100.210
1769114681.938652,100.200
1769114681.967789,100.210
1769114681.995770,100.200
1769114682.024789,100.210
1769114682.053818,100.200
1769114682.081940,100.200
1769114682.111124,100.210
1769114682.139528,100.200
1769114682.167997,100.190
1769114682.197219,100.210
1769114682.225203,100.190
1769114682.253747,100.210
1769114682.278239,100.200
1769114682.307255,100.210
1769114682.336255,100.200
1769114682.364285,100.190
1769114682.393777,100.200
1769114682.422583,100.200
1769114682.450614,100.210
1769114682.479729,100.200
1769114682.507730,100.190
1769114682.536733,100.200
1769114682.565839,100.200
1769114682.589837,100.190
1769114682.618823,100.200
1769114682.647835,100.210
1769114682.675969,100.200
1769114682.704970,100.200
1769114682.733989,100.210
1769114682.762026,100.210
1769114682.791295,100.200
1769114682.819294,100.200
1769114682.848294,100.210
1769114682.876409,100.210
1769114682.905426,100.200
1769114682.930505,100.210
1769114682.958715,100.210
1769114682.987348,100.200
1769114683.015712,100.190
1769114683.044692,100.200
1769114683.074286,100.200
1769114683.102284,100.210
1769114683.131263,100.200
1769114683.159300,100.210
1769114683.188390,100.200
1769114683.217374,100.210
1769114683.245392,100.200
1769114683.270634,100.210
1769114683.298651,100.200
1769114683.327638,100.190
1769114683.356682,100.200
1769114683.384809,100.200
1769114683.413789,100.210
1769114683.441791,100.200
1769114683.470967,100.190
1769114683.499968,100.210
1769114683.527982,100.200
1769114683.556990,100.200
1769114683.585243,100.210
1769114683.610222,100.200
1769114683.639239,100.200
1769114683.667533,100.210
1769114683.696513,100.210
1769114683.725501,100.200
1769114683.753547,100.200
1769114683.782635,100.200
1769114683.810617,100.210
1769114683.839636,100.190
1769114683.867852,100.200
1769114683.896856,100.200
1769114683.925836,100.200
1769114683.949841,100.210
1769114683.978969,100.200
1769114684.007968,100.200
1769114684.035969,100.210
